   TIME              V(OUT)          V(IN)               
   0.0000000E+00     7.8979939E-02   0.0000000E+00
   4.0000000E-11     7.8979939E-02   0.0000000E+00
   8.0000000E-11     7.8979939E-02   0.0000000E+00
   1.6000000E-10     7.8979939E-02   0.0000000E+00
   3.2000000E-10     7.8979939E-02   0.0000000E+00
   6.4000000E-10     7.8979939E-02   0.0000000E+00
   1.2800000E-09     7.8979939E-02   0.0000000E+00
   2.5600000E-09     7.8979939E-02   0.0000000E+00
   4.0000000E-09     7.8979939E-02   0.0000000E+00
   4.2560000E-09     7.8979939E-02   2.3040000E-01
   4.7680000E-09     7.8979939E-02   6.9120002E-01
   5.7920000E-09     7.8979939E-02   1.6128000E+00
   7.8400000E-09     7.8979939E-02   3.4560001E+00
   9.0000000E-09     7.8979939E-02   4.5000000E+00
   9.4096000E-09     7.8979939E-02   4.5000000E+00
   1.0228800E-08     7.8979939E-02   4.5000000E+00
   1.1867200E-08     7.8979939E-02   4.5000000E+00
   1.5000000E-08     7.8979939E-02   4.5000000E+00
   1.5313280E-08     9.5513463E-02   4.5000000E+00
   1.5939840E-08     3.8172781E+00   4.5000000E+00
   1.6384407E-08     5.4487576E+00   4.5000000E+00
   1.6796731E-08     4.8443923E+00   4.5000000E+00
   1.7154629E-08     5.0440402E+00   4.5000000E+00
   1.7563073E-08     4.9849124E+00   4.5000000E+00
   1.8150434E-08     5.0074229E+00   4.5000000E+00
   1.9088914E-08     4.9951854E+00   4.5000000E+00
   2.0965873E-08     5.0038877E+00   4.5000000E+00
   2.4719792E-08     4.9965057E+00   4.5000000E+00
   3.2227630E-08     5.0033131E+00   4.5000000E+00
   4.7243306E-08     4.9967742E+00   4.5000000E+00
   6.7243306E-08     5.0031619E+00   4.5000000E+00
   6.9000000E-08     4.9974847E+00   4.5000000E+00
   6.9500000E-08     4.9995809E+00   4.0500002E+00
   7.0500000E-08     5.0002794E+00   3.1500001E+00
   7.2500000E-08     4.9997711E+00   1.3500000E+00
   7.4000000E-08     5.0001750E+00   0.0000000E+00
   7.4400000E-08     5.0000348E+00   0.0000000E+00
   7.5200000E-08     4.9999790E+00   0.0000000E+00
   7.6800000E-08     5.0000162E+00   0.0000000E+00
   8.0000000E-08     4.9999857E+00   0.0000000E+00
   8.4000000E-08     5.0000129E+00   0.0000000E+00
   8.4400000E-08     4.9999237E+00   0.0000000E+00
   8.5000000E-08     8.7375499E-02   0.0000000E+00
   8.5019285E-08     7.9218678E-02   0.0000000E+00
   8.5057856E-08     7.8754269E-02   0.0000000E+00
   8.5103851E-08     7.9206482E-02   0.0000000E+00
   8.5156494E-08     7.8784950E-02   0.0000000E+00
   8.5261780E-08     7.9199813E-02   0.0000000E+00
   8.5472353E-08     7.8799739E-02   0.0000000E+00
   8.5867507E-08     7.9193167E-02   0.0000000E+00
   8.6657815E-08     7.8799643E-02   0.0000000E+00
   8.8238431E-08     7.9193324E-02   0.0000000E+00
   9.1399663E-08     7.8800142E-02   0.0000000E+00
   9.7722128E-08     7.9193093E-02   0.0000000E+00
   1.0400000E-07     7.8790575E-02   0.0000000E+00
   1.0450000E-07     7.8980312E-02   4.4999999E-01
   1.0550000E-07     7.8981876E-02   1.3500000E+00
   1.0750000E-07     7.8979723E-02   3.1500001E+00
   1.0900000E-07     7.8980148E-02   4.5000000E+00
   1.0940000E-07     7.8979939E-02   4.5000000E+00
   1.1020000E-07     7.8979939E-02   4.5000000E+00
   1.1180000E-07     7.8979939E-02   4.5000000E+00
   1.1500000E-07     7.8979939E-02   4.5000000E+00
   1.1527968E-07     9.0940714E-02   4.5000000E+00
   1.1583904E-07     3.7102077E+00   4.5000000E+00
   1.1624424E-07     5.4373107E+00   4.5000000E+00
   1.1661968E-07     4.8666697E+00   4.5000000E+00
   1.1694815E-07     5.0324111E+00   4.5000000E+00
   1.1732072E-07     4.9902315E+00   4.5000000E+00
   1.1789086E-07     5.0046949E+00   4.5000000E+00
   1.1884559E-07     4.9969316E+00   4.5000000E+00
   1.2075506E-07     5.0024867E+00   4.5000000E+00
   1.2457398E-07     4.9977608E+00   4.5000000E+00
   1.3221184E-07     5.0021248E+00   4.5000000E+00
   1.4748754E-07     4.9979300E+00   4.5000000E+00
   1.6748754E-07     5.0020289E+00   4.5000000E+00
   1.6900000E-07     4.9984450E+00   4.5000000E+00
   1.6950000E-07     4.9997406E+00   4.0500002E+00
   1.7050000E-07     5.0001726E+00   3.1500001E+00
   1.7250000E-07     4.9998589E+00   1.3500000E+00
   1.7400000E-07     5.0001082E+00   0.0000000E+00
   1.7440000E-07     5.0000215E+00   0.0000000E+00
   1.7520000E-07     4.9999871E+00   0.0000000E+00
   1.7680000E-07     5.0000100E+00   0.0000000E+00
   1.8000000E-07     4.9999909E+00   0.0000000E+00
   1.8400000E-07     5.0000081E+00   0.0000000E+00
   1.8440000E-07     4.9999228E+00   0.0000000E+00
   1.8500000E-07     8.7375507E-02   0.0000000E+00
   1.8501929E-07     7.9218678E-02   0.0000000E+00
   1.8505786E-07     7.8754269E-02   0.0000000E+00
   1.8510385E-07     7.9206482E-02   0.0000000E+00
